4054459	Slc4a1_introns_probe10		mdC(TEG-Amino)	
4054460	Slc4a1_introns_probe11		mdC(TEG-Amino)	
4054461	Slc4a1_introns_probe12		mdC(TEG-Amino)	
4054462	Slc4a1_introns_probe13		mdC(TEG-Amino)	
4054463	Slc4a1_introns_probe14		mdC(TEG-Amino)	
4054464	Slc4a1_introns_probe15		mdC(TEG-Amino)	
4054465	Slc4a1_introns_probe16		mdC(TEG-Amino)	
4054466	Slc4a1_introns_probe17		mdC(TEG-Amino)	
4054467	Slc4a1_introns_probe18		mdC(TEG-Amino)	
4054468	Slc4a1_introns_probe19		mdC(TEG-Amino)	
4054469	Slc4a1_introns_probe20		mdC(TEG-Amino)	
4054470	Slc4a1_introns_probe21		mdC(TEG-Amino)	
4054471	Slc4a1_introns_probe22		mdC(TEG-Amino)	
4054472	Slc4a1_introns_probe23		mdC(TEG-Amino)	
4054473	Slc4a1_introns_probe24		mdC(TEG-Amino)	
4054474	Slc4a1_introns_probe25		mdC(TEG-Amino)	
4054475	Slc4a1_introns_probe26		mdC(TEG-Amino)	
4054476	Slc4a1_introns_probe27		mdC(TEG-Amino)	
4054477	Slc4a1_introns_probe28		mdC(TEG-Amino)	
4054478	Slc4a1_introns_probe29		mdC(TEG-Amino)	
4054479	Slc4a1_introns_probe30		mdC(TEG-Amino)	
4054480	Slc4a1_introns_probe31		mdC(TEG-Amino)	
4054481	Slc4a1_introns_probe32		mdC(TEG-Amino)	
4054482	Slc4a1_introns_probe33		mdC(TEG-Amino)	
4054483	Slc4a1_introns_probe34		mdC(TEG-Amino)	
4054484	Slc4a1_introns_probe35		mdC(TEG-Amino)	
4054485	Slc4a1_introns_probe36		mdC(TEG-Amino)	
4054486	Slc4a1_introns_probe37		mdC(TEG-Amino)	
4054487	Slc4a1_introns_probe38		mdC(TEG-Amino)	
4054488	Slc4a1_introns_probe39		mdC(TEG-Amino)	-27 adducts: TS
4054489	Slc4a1_introns_probe40		mdC(TEG-Amino)	
4054490	Slc4a1_introns_probe41		mdC(TEG-Amino)	
4054491	Slc4a1_introns_probe42		mdC(TEG-Amino)	
4054492	Slc4a1_introns_probe43		mdC(TEG-Amino)	
4054493	Slc4a1_introns_probe44		mdC(TEG-Amino)	
4054494	Slc4a1_introns_probe45		mdC(TEG-Amino)	
4054495	Slc4a1_introns_probe46		mdC(TEG-Amino)	
4054496	Slc4a1_introns_probe47		mdC(TEG-Amino)	
4054497	Slc4a1_introns_probe48		mdC(TEG-Amino)	
4054498	Dleu7_introns_probe1		mdC(TEG-Amino)	
4054499	Dleu7_introns_probe2		mdC(TEG-Amino)	
4054500	Dleu7_introns_probe3		mdC(TEG-Amino)	
4054501	Dleu7_introns_probe4		mdC(TEG-Amino)	
4054502	Dleu7_introns_probe5		mdC(TEG-Amino)	
4054503	Dleu7_introns_probe6		mdC(TEG-Amino)	
4054504	Dleu7_introns_probe7		mdC(TEG-Amino)	
4054505	Dleu7_introns_probe8		mdC(TEG-Amino)	
4054506	Dleu7_introns_probe9		mdC(TEG-Amino)	
4054507	Dleu7_introns_probe10		mdC(TEG-Amino)	
4054508	Dleu7_introns_probe11		mdC(TEG-Amino)	
4054509	Dleu7_introns_probe12		mdC(TEG-Amino)	
4054510	Dleu7_introns_probe13		mdC(TEG-Amino)	
4054511	Dleu7_introns_probe14		mdC(TEG-Amino)	
4054512	Dleu7_introns_probe15		mdC(TEG-Amino)	
4054513	Dleu7_introns_probe16		mdC(TEG-Amino)	
4054514	Dleu7_introns_probe17		mdC(TEG-Amino)	
4054515	Dleu7_introns_probe18		mdC(TEG-Amino)	
4054516	Dleu7_introns_probe19		mdC(TEG-Amino)	
4054517	Dleu7_introns_probe20		mdC(TEG-Amino)	
4054518	Dleu7_introns_probe21		mdC(TEG-Amino)	
4054519	Dleu7_introns_probe22		mdC(TEG-Amino)	
4054520	Dleu7_introns_probe23		mdC(TEG-Amino)	
4054521	Dleu7_introns_probe24		mdC(TEG-Amino)	
4054522	Dleu7_introns_probe25		mdC(TEG-Amino)	
4054523	Dleu7_introns_probe26		mdC(TEG-Amino)	
4054524	Dleu7_introns_probe27		mdC(TEG-Amino)	
4054525	Dleu7_introns_probe28		mdC(TEG-Amino)	
4054526	Dleu7_introns_probe29		mdC(TEG-Amino)	
4054527	Dleu7_introns_probe30		mdC(TEG-Amino)	
4054528	Dleu7_introns_probe31		mdC(TEG-Amino)	
4054529	Dleu7_introns_probe32		mdC(TEG-Amino)	
4054530	Dleu7_introns_probe33		mdC(TEG-Amino)	
4054531	Dleu7_introns_probe34		mdC(TEG-Amino)	
4054532	Dleu7_introns_probe35		mdC(TEG-Amino)	
4054533	Dleu7_introns_probe36		mdC(TEG-Amino)	
4054534	Dleu7_introns_probe37		mdC(TEG-Amino)	
4054535	Dleu7_introns_probe38		mdC(TEG-Amino)	
4054536	Dleu7_introns_probe39		mdC(TEG-Amino)	
4054537	Dleu7_introns_probe40		mdC(TEG-Amino)	
4054538	Dleu7_introns_probe41		mdC(TEG-Amino)	
4054539	Dleu7_introns_probe42		mdC(TEG-Amino)	
4054540	Dleu7_introns_probe43		mdC(TEG-Amino)	
4054541	Dleu7_introns_probe44		mdC(TEG-Amino)	
4054542	Dleu7_introns_probe45		mdC(TEG-Amino)	
4054543	Dleu7_introns_probe46		mdC(TEG-Amino)	
4054544	Dleu7_introns_probe47		mdC(TEG-Amino)	
4054545	Dleu7_introns_probe48		mdC(TEG-Amino)	
4054546	Rnaseh2b_introns_probe1		mdC(TEG-Amino)	
4054547	Rnaseh2b_introns_probe2		mdC(TEG-Amino)	
4054548	Rnaseh2b_introns_probe3		mdC(TEG-Amino)	
4054549	Rnaseh2b_introns_probe4		mdC(TEG-Amino)	
4054550	Rnaseh2b_introns_probe5		mdC(TEG-Amino)	
4054551	Rnaseh2b_introns_probe6		mdC(TEG-Amino)	
4054552	Rnaseh2b_introns_probe7		mdC(TEG-Amino)	
4054553	Rnaseh2b_introns_probe8		mdC(TEG-Amino)	
4054554	Rnaseh2b_introns_probe9		mdC(TEG-Amino)	
4054555	Rnaseh2b_introns_probe10		mdC(TEG-Amino)	
4054556	Rnaseh2b_introns_probe11		mdC(TEG-Amino)	
4054557	Rnaseh2b_introns_probe12		mdC(TEG-Amino)	
4054558	Rnaseh2b_introns_probe13		mdC(TEG-Amino)	
4054559	Rnaseh2b_introns_probe14		mdC(TEG-Amino)	
4054560	Rnaseh2b_introns_probe15		mdC(TEG-Amino)	
4054561	Rnaseh2b_introns_probe16		mdC(TEG-Amino)	
4054562	Rnaseh2b_introns_probe17		mdC(TEG-Amino)	
4054563	Rnaseh2b_introns_probe18		mdC(TEG-Amino)	
4054564	Rnaseh2b_introns_probe19		mdC(TEG-Amino)	
4054565	Rnaseh2b_introns_probe20		mdC(TEG-Amino)	
4054566	Rnaseh2b_introns_probe21		mdC(TEG-Amino)	
4054567	Rnaseh2b_introns_probe22		mdC(TEG-Amino)	
4054568	Rnaseh2b_introns_probe23		mdC(TEG-Amino)	
4054569	Rnaseh2b_introns_probe24		mdC(TEG-Amino)	
4054570	Rnaseh2b_introns_probe25		mdC(TEG-Amino)	
4054571	Rnaseh2b_introns_probe26		mdC(TEG-Amino)	
4054572	Rnaseh2b_introns_probe27		mdC(TEG-Amino)	
4054573	Rnaseh2b_introns_probe28		mdC(TEG-Amino)	
4054574	Rnaseh2b_introns_probe29		mdC(TEG-Amino)	
4054575	Rnaseh2b_introns_probe30		mdC(TEG-Amino)	
4054576	Rnaseh2b_introns_probe31		mdC(TEG-Amino)	
4054577	Rnaseh2b_introns_probe32		mdC(TEG-Amino)	
4054578	Rnaseh2b_introns_probe33		mdC(TEG-Amino)	
4054579	Rnaseh2b_introns_probe34		mdC(TEG-Amino)	
4054580	Rnaseh2b_introns_probe35		mdC(TEG-Amino)	
4054581	Rnaseh2b_introns_probe36		mdC(TEG-Amino)	
4054582	Rnaseh2b_introns_probe37		mdC(TEG-Amino)	
4054583	Rnaseh2b_introns_probe38		mdC(TEG-Amino)	
4054584	Rnaseh2b_introns_probe39		mdC(TEG-Amino)	
4054585	Rnaseh2b_introns_probe40		mdC(TEG-Amino)	
4054586	Rnaseh2b_introns_probe41		mdC(TEG-Amino)	
4054587	Rnaseh2b_introns_probe42		mdC(TEG-Amino)	
4054588	Rnaseh2b_introns_probe43		mdC(TEG-Amino)	
4054589	Rnaseh2b_introns_probe44		mdC(TEG-Amino)	
4054590	Rnaseh2b_introns_probe45		mdC(TEG-Amino)	
4054591	Rnaseh2b_introns_probe46		mdC(TEG-Amino)	
4054592	Rnaseh2b_introns_probe47		mdC(TEG-Amino)	
4054593	Rnaseh2b_introns_probe48		mdC(TEG-Amino)	
4054594	Spryd7_introns_probe1		mdC(TEG-Amino)	
4054595	Spryd7_introns_probe2		mdC(TEG-Amino)	
4054596	Spryd7_introns_probe3		mdC(TEG-Amino)	
4054597	Spryd7_introns_probe4		mdC(TEG-Amino)	
4054598	Spryd7_introns_probe5		mdC(TEG-Amino)	
4054599	Spryd7_introns_probe6		mdC(TEG-Amino)	
4054600	Spryd7_introns_probe7		mdC(TEG-Amino)	
4054601	Spryd7_introns_probe8		mdC(TEG-Amino)	
4054602	Spryd7_introns_probe9		mdC(TEG-Amino)	
4054603	Spryd7_introns_probe10		mdC(TEG-Amino)	
4054604	Spryd7_introns_probe11		mdC(TEG-Amino)	
4054605	Spryd7_introns_probe12		mdC(TEG-Amino)	
4054606	Spryd7_introns_probe13		mdC(TEG-Amino)	
4054607	Spryd7_introns_probe14		mdC(TEG-Amino)	
4054608	Spryd7_introns_probe15		mdC(TEG-Amino)	
4054609	Spryd7_introns_probe16		mdC(TEG-Amino)	
4054610	Spryd7_introns_probe17		mdC(TEG-Amino)	
4054611	Spryd7_introns_probe18		mdC(TEG-Amino)	
4054612	Spryd7_introns_probe19		mdC(TEG-Amino)	
4054613	Spryd7_introns_probe20		mdC(TEG-Amino)	
4054614	Spryd7_introns_probe21		mdC(TEG-Amino)	
4054615	Spryd7_introns_probe22		mdC(TEG-Amino)	
4054616	Spryd7_introns_probe23		mdC(TEG-Amino)	
4054617	Spryd7_introns_probe24		mdC(TEG-Amino)	
4054618	Spryd7_introns_probe25		mdC(TEG-Amino)	
4054619	Spryd7_introns_probe26		mdC(TEG-Amino)	
4054620	Spryd7_introns_probe27		mdC(TEG-Amino)	
4054621	Spryd7_introns_probe28		mdC(TEG-Amino)	
4054622	Spryd7_introns_probe29		mdC(TEG-Amino)	
4054623	Spryd7_introns_probe30		mdC(TEG-Amino)	
4054624	Spryd7_introns_probe31		mdC(TEG-Amino)	
4054625	Spryd7_introns_probe32		mdC(TEG-Amino)	
4054626	Spryd7_introns_probe33		mdC(TEG-Amino)	
4054627	Spryd7_introns_probe34		mdC(TEG-Amino)	
4054628	Spryd7_introns_probe35		mdC(TEG-Amino)	
4054629	Spryd7_introns_probe36		mdC(TEG-Amino)	
4054630	Spryd7_introns_probe37		mdC(TEG-Amino)	
4054631	Spryd7_introns_probe38		mdC(TEG-Amino)	
4054632	Spryd7_introns_probe39		mdC(TEG-Amino)	
4054633	Spryd7_introns_probe40		mdC(TEG-Amino)	
4054634	Spryd7_introns_probe41		mdC(TEG-Amino)	
4054635	Spryd7_introns_probe42		mdC(TEG-Amino)	
4054636	Spryd7_introns_probe43		mdC(TEG-Amino)	
4054637	Spryd7_introns_probe44		mdC(TEG-Amino)	
4054638	Spryd7_introns_probe45		mdC(TEG-Amino)	
4054639	Spryd7_introns_probe46		mdC(TEG-Amino)	
4054640	Spryd7_introns_probe47		mdC(TEG-Amino)	
4054641	Spryd7_introns_probe48		mdC(TEG-Amino)	
4054130	VNTR-3 Forward	CAL Fluor Red 590		
4054138	VNTR-17 Forward	CAL Fluor Red 590		
4054136	VNTR-25 Forward	HEX		
4054144	VNTR-37 Forward	HEX		
4041905	R31113	ROX-C6		Reassign for rec. 03/10/14 kt
4046964	CCL11_intron_1		mdC(TEG-Amino)	poor synthesis: TS
4047018	CCL11_exon_28		mdC(TEG-Amino)	poor synthesis: TS
4047401	CCL2_eRNA1_intron_16		mdC(TEG-Amino)	poor synthesis: TS
4048367	BsruvBcon1SIMA		Spacer C3	
4048369	BSruvBCon1LFDig	T(DIG)	Spacer C3	
4054403	FE09646			
4054403	FE09646			
4054403	FE09646			
4054404	FE09647			
4054404	FE09647			
4054404	FE09647			
4054406	FE09649			
4054406	FE09649			
4054406	FE09649			
4054407	FE09650			
4054407	FE09650			
4054407	FE09650			
4053673	mVegfA-164_F			
4053674	mVegfA-164_R			
4053676	mCycloB_F			
4053677	mCycloB_R			
4053679	mCycloB_F			
4053680	mCycloB_R			
4053682	mCycloB_F			
4053683	mCycloB_R			
4053685	mCycloB_F			
4053686	mCycloB_R			
4053688	mCycloB_F			
4053689	mCycloB_R			
4053691	mGi24_B7H5_Vista_F			
4053692	mGi24_B7H5_Vista_R			
4054686	SLV821			
4054697	IKBKE-RTF			
4054698	IKBKE-RTR			MS ok: TSLow Yield at ODS 03/05/14 mrr
4054699	IKBKE-TMF			
4054700	IKBKE-TMR			
4054702	TBK1-RTF			
4054703	TBK1-RTR			
4054704	TBK1-TMF			
4054705	TBK1-TMR			
4054707	Luciferase-Syl-RTF			
4054708	Luciferase-Syl-RTR			
4054709	Luciferase-Syl-TMF			
4054710	Luciferase-Syl-TMR			
4054355	LP294-s1489508			
4054356	LP316-s537815			
4054357	LP204-s1012344			
4054358	LP72-s878174			
4054359	LP179-s702649			
4054360	LP421-s878171			
4054361	LP127-s1479321			
4054362	LP439-s1033286			
4054363	LP26-s2112478			
4054364	LP113-s1892451			
4054365	LP156-s2112384			
4054366	LP137-s2112472			
4054367	LP89-s2112473			
4054368	LP23-s1892623			
4054369	LP57-s2112396			
4054370	LP76-s2112775			
4054371	LP22-s2112741			
4054372	LP16-s914988			
4054373	LP9-s842219			
4054374	LP3-s842216			
4054375	LP21-s914973			
4054376	RP294-s1489607			
4054377	RP316-s537913			
4054378	RP204-s1012448			
4054379	RP72-s878276			
4054380	RP179-s702753			
4054381	RP421-s878280			
4054382	RP127-s1479427			
4054383	RP439-s1033395			
4054384	RP26-s2112609			
4054385	RP113-s1892581			
4054386	RP156-s2112492			
4054387	RP137-s2112599			
4054388	RP89-s2112601			
4054389	RP23-s1892744			
4054390	RP57-s2112497			
4054391	RP76-s2112873			
4054392	RP22-s2112875			
4054393	RP16-s915068			
4054394	RP9-s842323			
4054395	RP3-s842317			
4054396	RP21-s915072			
4054399	RRM1 838 For			
4054400	CMV For 2995			
4054401	RRM1 911 Rev			
4054402	CMV Rev 3132			
4054683	CAV Q5'			
4054684	Cux-1 Q3'			
4054685	CIA-1 Q3'			
4049678	Megasphaera_F			reassigned for liquid handling purposes 03/07/14 sd
4049738	Atopobium Vaginae_F			reassigned for liquid handling purposes 03/07/14 sd
4049746	Atopobium Vaginae_F			reassigned for liquid handling purposes 03/07/14 sd
4049754	Atopobium Vaginae_F			reassigned for liquid handling purposes 03/07/14 sd
4049755	Atopobium Vaginae_F			reassigned for liquid handling purposes 03/07/14 sd
4049762	Atopobium Vaginae _R			reassigned for liquid handling purposes 03/07/14 sd
4049770	Atopobium Vaginae _R			reassigned for liquid handling purposes 03/07/14 sd
4049771	Atopobium Vaginae _R			reassigned for liquid handling purposes 03/07/14 sd
4049798	Gardnerella Vaginalis_F			reassigned for liquid handling purposes 03/07/14 sd
4049799	Gardnerella Vaginalis_F			reassigned for liquid handling purposes 03/07/14 sd
4049800	Gardnerella Vaginalis_F			reassigned for liquid handling purposes 03/07/14 sd
4049801	Gardnerella Vaginalis_F			reassigned for liquid handling purposes 03/07/14 sd
4049802	Gardnerella Vaginalis_F			reassigned for liquid handling purposes 03/07/14 sd
4049803	Gardnerella Vaginalis_F			reassigned for liquid handling purposes 03/07/14 sd
4049804	Gardnerella Vaginalis_F			reassigned for liquid handling purposes 03/07/14 sd
4049806	Gardnerella Vaginalis_F			reassigned for liquid handling purposes 03/07/14 sd
4049807	Gardnerella Vaginalis_F			reassigned for liquid handling purposes 03/07/14 sd
4049808	Gardnerella Vaginalis_F			reassigned for liquid handling purposes 03/07/14 sd
4049809	Gardnerella Vaginalis_F			reassigned for liquid handling purposes 03/07/14 sd
4049810	Gardnerella Vaginalis_F			reassigned for liquid handling purposes 03/07/14 sd
4049811	Gardnerella Vaginalis_F			reassigned for liquid handling purposes 03/07/14 sd
4049812	Gardnerella Vaginalis_F			reassigned for liquid handling purposes 03/07/14 sd
4049813	Gardnerella Vaginalis_F			reassigned for liquid handling purposes 03/07/14 sd
4049818	Gardnerella Vaginalis _R			reassigned for liquid handling purposes 03/07/14 sd
4049819	Gardnerella Vaginalis _R			reassigned for liquid handling purposes 03/07/14 sd
4049829	Gardnerella Vaginalis _R			reassigned for liquid handling purposes 03/07/14 sd
4049835	Gardnerella Vaginalis _R			reassigned for liquid handling purposes 03/07/14 sd
4049859	Lacto Acid/Crisp_F			reassigned for liquid handling purposes 03/07/14 sd
4049860	Lacto Acid/Crisp_F			reassigned for liquid handling purposes 03/07/14 sd
4049861	Lacto Acid/Crisp_F			reassigned for liquid handling purposes 03/07/14 sd
4049862	Lacto Acid/Crisp_F			reassigned for liquid handling purposes 03/07/14 sd
4049863	Lacto Acid/Crisp_F			reassigned for liquid handling purposes 03/07/14 sd
4049865	Lacto Acid/Crisp_F			reassigned for liquid handling purposes 03/07/14 sd
4049866	Lacto Acid/Crisp_F			reassigned for liquid handling purposes 03/07/14 sd
4049867	Lacto Acid/Crisp_F			reassigned for liquid handling purposes 03/07/14 sd
4049868	Lacto Acid/Crisp_F			reassigned for liquid handling purposes 03/07/14 sd
4049869	Lacto Acid/Crisp_F			reassigned for liquid handling purposes 03/07/14 sd
4049870	Lacto Acid/Crisp_F			reassigned for liquid handling purposes 03/07/14 sd
4049871	Lacto Acid/Crisp_F			reassigned for liquid handling purposes 03/07/14 sd
4049872	Lacto Acid/Crisp_F			reassigned for liquid handling purposes 03/07/14 sd
4049873	Lacto Acid/Crisp_F			reassigned for liquid handling purposes 03/07/14 sd
4049874	Lacto Acid/Crisp_F			reassigned for liquid handling purposes 03/07/14 sd
4049875	Lacto Acid/Crisp_F			reassigned for liquid handling purposes 03/07/14 sd
4049876	Lacto Acid/Crisp_F			reassigned for liquid handling purposes 03/07/14 sd
4049877	Lacto Acid/Crisp_F			reassigned for liquid handling purposes 03/07/14 sd
4049919	Lacto Jensenii_F			reassigned for liquid handling purposes 03/07/14 sd
4049923	Lacto Jensenii_F			reassigned for liquid handling purposes 03/07/14 sd
4054720	HCV FP			
4054721	HCV FP			
4054722	HCV FP			
4054723	HCV FP			
4054724	HCV RP			
4054725	HCV RP			
4054726	HCV RP			
4054727	HCV RP			
4054675	Ring 1A	FAM	BHQ-1	
4054679	1069	FAM	BHQ-1	
4054682	CAV probe	FAM	BHQ-1	
4054716	HCVP2	FAM	BHQ-1	
4054717	HCVP2	FAM	BHQ-1	
4054718	HCVP2	FAM	BHQ-1	
4054719	HCVP2	FAM	BHQ-1	
4045644	MS2;2986U20			
4054687	TNos.2.F1			
4054688	TNos.2.F2			
4054689	TNos.2.F6			N-1: TS
4054690	TNos.2.F8			N-1: TS
4054691	TNos.2.R1			
4054692	TNos.2.R3			
4054693	TNos.2.R4			
4054694	TNos.2.R5			N-1: TS
4054728	MT1-m			
4054729	MT2-m			
4054730	MT3-m			
4054731	MT4-m			
4054712	3’-HCV-TRBHQplus	CAL Fluor Red 610	BHQ-2	MS ok: TSLow yield at ODs 03/05/14 kt
4054713	3’-HCV-TRBHQplus	CAL Fluor Red 610	BHQ-2	MS ok: TSLow yield at ODs 03/05/14 kt
4054714	3’-HCV-TRBHQplus	CAL Fluor Red 610	BHQ-2	MS ok: TSLow yield at ODs 03/05/14 kt
4054715	3’-HCV-TRBHQplus	CAL Fluor Red 610	BHQ-2	MS ok: TSLow yield at ODs 03/05/14 kt
4054158	SE CTO #3(n-4)-JOE	BHQ-1	Spacer C3	MS ok: TS 031814low yield - 03/07/14 sm
4054153	Ng_T9a_x_PrbF1		Spacer C3	
4054154	Ng_T9a_x_PrbR1		Spacer C3	
4054155	Ng_T48_x_PrbF1		Spacer C3	
4054156	Ng_T48_x_PrbR1		Spacer C3	
4054157	Ng_T7_x_PrbF1		Spacer C3	
4054354	Rhino_5UTR_F8			low yield at ODs 03/06/14 AG
4054132	VNTR-34 Forward	FAM		
4054134	VNTR-9 Forward	FAM		
4054140	VNTR-19 Forward	FAM		
4054142	VNTR-36 Forward	FAM		
4054695	TNos.2.Probe.T	CAL Fluor Red 610	BHQ-2	
4054696	TNos.2.Probe.B	CAL Fluor Red 610	BHQ-2	
4054147	aminoglyc 5'C6thiol 3'MB	Thiol C6 SS	Methylene Blue	Lack of FLP
4054148	doxorubicin 3'MB 5'6Cthio	Thiol C6 SS	Methylene Blue	purity
4049513	SE3132A1FM	FAM	BHQ-1	
4049517	SE3133A1FM	FAM	BHQ-1	
4049521	SE3134A1FM	FAM	BHQ-1	
4049525	SE3135A1FM	FAM	BHQ-1	
4049529	SE3136A1FM	FAM	BHQ-1	
4049533	SE3137A1FM	FAM	BHQ-1	
4049537	SE3138A1FM	FAM	BHQ-1	
4049541	SE3139A1FM	FAM	BHQ-1	
4049545	SE3140A1FM	FAM	BHQ-1	
4049549	SE3141A1FM	FAM	BHQ-1	
4049553	SE3142A1FM	FAM	BHQ-1	
4050540	SM4863F1			
4051887	SM4525 - R			
4054100	ST2504A1TT	TET	BHQ-1	
4054102	ST2505A1TT	TET	BHQ-1	
4054104	ST2506A1TT	TET	BHQ-1	
4054107	ST2507A2TT	TET	BHQ-1	
4054109	ST2508A2TT	TET	BHQ-1	
4054111	ST2509A2TT	TET	BHQ-1	
4054112	ST2510A1TT	TET	BHQ-1	
4054114	ST2511A1TT	TET	BHQ-1	Low Yield at ods 03/06/14 mrr
4054116	ST2512A1TT	TET	BHQ-1	
4054118	ST2513A1TT	TET	BHQ-1	
4054120	ST2515A1TT	TET	BHQ-1	
4054122	ST2516A1TT	TET	BHQ-1	
4054124	ST2517A1TT	TET	BHQ-1	
4054126	ST2518A1TT	TET	BHQ-1	
4054643	CP13-1	Amino C6		
4054644	CP19-1	Amino C6		
4054645	CP27-1	Amino C6		
4054646	CP113-1	Amino C6		
4054647	CP110-1	Amino C6		
4054648	CP114-1	Amino C6		
4054649	CP115-1	Amino C6		
4054650	CP117-1	Amino C6		
4054651	CP13-2	Amino C6		
4054652	CP19-2	Amino C6		
4054653	CP27-2	Amino C6		
4054654	CP113-2	Amino C6		
4054655	CP110-2	Amino C6		
4054656	CP114-2	Amino C6		
4054657	CP115-2	Amino C6		
4054658	CP117-2	Amino C6		
4054659	CP13-3	Amino C6		
4054660	CP19-3	Amino C6		
4054661	CP27-3	Amino C6		
4054662	CP113-3	Amino C6		
4054663	CP110-3	Amino C6		
4054664	CP114-3	Amino C6		
4054665	CP115-3	Amino C6		
4054666	CP117-3	Amino C6		
4054667	CP13-4	Amino C6		
4054668	CP19-4	Amino C6		
4054669	CP27-4	Amino C6		
4054670	CP113-4	Amino C6		
4054671	CP110-4	Amino C6		
4054672	CP114-4	Amino C6		
4054673	CP115-4	Amino C6		
4054674	CP117-4	Amino C6		
4051118	VSP7038FAM	FAM	BHQ-1	
4051281	YGZ4205	FAM	BHQ-1	
4051282	YGZ4205	FAM	BHQ-1	
4051283	YGZ4205	FAM	BHQ-1	
4051284	YGZ4205	FAM	BHQ-1	
4051285	YGZ4205	FAM	BHQ-1	
4051286	YGZ4205	FAM	BHQ-1	
4051287	YGZ4205	FAM	BHQ-1	
4033451	Candida Tropicalis_P	T(JOE)	BHQ-1	
4054738	393H0314	HEX		
4054739	437H0314	HEX		
4054740	3850314	HEX		M.I.A. EI
4054741	H4H0314	HEX		ms okLow yield at ODs 03/17/14 kt
4054732	460F0314	6-FAM		ms okLow yield at ODs 03/17/14 kt
4054733	458F0314	6-FAM		ms okLow yield at ODs 03/17/14 kt
4054734	389F0314	6-FAM		ms okLow yield at ODs 03/17/14 kt
4054735	390F0314	6-FAM		ms okLow yield at ODs 03/17/14 kt
4054746	456R0314	CAL Fluor Red 610		ms oklow yield 03/19/14 sd
4054747	635R0314	CAL Fluor Red 610		MS ok: TSLow yield at ODs 03/20/14 kt
4054748	439R0314	CAL Fluor Red 610		
4054749	527R0314	CAL Fluor Red 610		
4054750	R10314	CAL Fluor Red 610		MS ok: TSlow yield 03/19/14 sd
4054751	R20314	CAL Fluor Red 610		MS ok: TSlow yield 03/19/14 sd
4054752	R30314	CAL Fluor Red 610		MS ok: TSlow yield 03/19/14 sd
4050763	Wnt2b-627	Quasar 670	BHQ-2	
4050766	Wnt2b-627	Quasar 670	BHQ-2	
4050787	Wnt2b-627	Quasar 670	BHQ-2	
4043568	SuHV_1F	Biotin		purity
4049176	P25Q670	Quasar 670	BHQ-2	MS ok: TS 030614low yield 3/5/2014 la
4047704	Candida Tropicalis_P	TAMRA	BHQ-2	
4047706	Candida Tropicalis_P	TAMRA	BHQ-2	
4047708	Candida Tropicalis_P	TAMRA	BHQ-2	
4047766	SGAG21			
4051143	HIV1PL exoA2probe5 (Twist		Spacer C3	
4050453	MT 1	Biotin		wrong mass/purity
4050001	DENV1 BHQ+	FAM	BHQ-1	MS ok: TSLow Yield at ods 03/05/14 mrr
4039964	HPIV-3Probe	CAL Fluor Red 610	BHQ-2	
4049840	Gardnerella Vaginalis_P	Quasar 670	BHQ-2	
4049842	Gardnerella Vaginalis_P	Quasar 670	BHQ-2	
4049845	Gardnerella Vaginalis_P	Quasar 670	BHQ-2	
4049846	Gardnerella Vaginalis_P	Quasar 670	BHQ-2	
4049848	Gardnerella Vaginalis_P	Quasar 670	BHQ-2	MS not ok: TSLow Yield at ods 03/06/14 mrr
4049976	Lacto Jensenii_P	FAM	BHQ-1	MS ok: TSLow Yield at ods 03/05/14 mrrsee 286286 for syn. info. dw
4050089	4256mTD2	CAL Fluor Orange 560	BHQ-1	
4046964	CCL11_intron_1		mdC(TEG-Amino)	
4047018	CCL11_exon_28		mdC(TEG-Amino)	cyanoethyl, poor synthesis: TS
4047401	CCL2_eRNA1_intron_16		mdC(TEG-Amino)	
4051364	m Ncoa2 s1	FAM	TAMRA	
4051365	m Ap2a2 s1	FAM	TAMRA	
4050000	PII-R	CAL Fluor Red 635	Phos	
4054676	Ring 1B	FAM	BHQ-1	
4054677	Ring P2	FAM	BHQ-1	
4054678	1069	FAM	BHQ-1	
4054680	1047	FAM	BHQ-1	
4054681	1083	FAM	BHQ-1	MS ok: TSLow Yield at ods 03/05/14 mrr
4054701	IKBKE-TMP	FAM	BHQ-1	mixed N-1's: TS
4054706	TBK1-TMP	FAM	BHQ-1	
4054711	Luciferase-Syl-TMP	FAM	BHQ-1	
4054827	LYS2Probe_1		Quasar 570	
4054828	LYS2Probe_2		Quasar 570	
4054829	LYS2Probe_3		Quasar 570	
4054830	LYS2Probe_4		Quasar 570	
4054831	LYS2Probe_5		Quasar 570	
4054832	LYS2Probe_6		Quasar 570	
4054833	LYS2Probe_7		Quasar 570	
4054834	LYS2Probe_8		Quasar 570	
4054835	LYS2Probe_9		Quasar 570	
4054836	LYS2Probe_10		Quasar 570	
4054837	LYS2Probe_11		Quasar 570	
4054838	LYS2Probe_12		Quasar 570	
4054839	LYS2Probe_13		Quasar 570	
4054840	LYS2Probe_14		Quasar 570	
4054841	LYS2Probe_15		Quasar 570	
4054842	LYS2Probe_16		Quasar 570	
4054843	LYS2Probe_17		Quasar 570	
4054844	LYS2Probe_18		Quasar 570	
4054845	LYS2Probe_19		Quasar 570	
4054846	LYS2Probe_20		Quasar 570	
4054847	LYS2Probe_21		Quasar 570	
4054848	LYS2Probe_22		Quasar 570	
4054849	LYS2Probe_23		Quasar 570	
